"Subject" "List" "Date" "Time" "Run" "Trial" "condition" "delaycondition" "Target" "WordPresentationOnset" "MathRespOnset" "RecallwordOnset" "Recallword.ACC" "finalrecall" "finalrecognition" "syllables" "living" "PC1" "PC2" "PC1fac" "PC2fac" "MDSF1" "MDSF2" "MDSF3"
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 92 "shallow" "rehearse" "hamster" 473097 484397 486397 1 0 1 2 TRUE 0.476936567330163 -0.180998523329129 "high" "low" -0.411272139054344 -0.26915201064433 0.159926895010833
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 93 "deep" "easymathtrialproc" "portfolio" 496487 507787 509787 1 1 1 4 FALSE 2.82465192166921 -0.67531961632309 "high" "low" 0.370597141105551 -0.0595532289864249 0.114068972244872
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 94 "deep" "rehearse" "gravy" 521877 533177 535177 1 0 1 2 FALSE -0.756875799998562 -0.720569313337361 "low" "low" 0.244782974312931 0.552413201052749 0.345330710440834
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 95 "shallow" "rehearse" "gown" 547268 558568 560568 1 0 1 1 FALSE -2.37228850780419 1.19492401726231 "low" "high" 0.389484061742397 0.031440000625495 -0.0171283557513856
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 96 "shallow" "hardmathtrialproc" "sidewalk" 572675 583975 585975 1 0 1 2 FALSE 0.691162744918362 0.257142024941896 "high" "high" 0.203393155876906 -0.249254853470126 -0.387036086707661
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 97 "deep" "easymathtrialproc" "puppy" 12000 23300 25300 1 1 1 2 TRUE -1.42755668714892 -2.98199474549282 "low" "low" -0.293625842357823 -0.0192131241453017 0.0301084646271417
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 98 "deep" "easymathtrialproc" "camel" 38391 49691 51691 1 1 1 2 TRUE -0.754047119336766 -0.200313194220531 "low" "low" -0.534922299734297 -0.18294668527988 0.143672623837361
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 99 "deep" "easymathtrialproc" "crow" 60781 72081 74081 0 1 1 1 TRUE -2.57956137042663 0.376751272672117 "low" "high" 0.00286467402833575 -0.0428125784734535 0.155298702194308
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 100 "shallow" "easymathtrialproc" "lion" 84171 95471 97471 1 1 1 2 TRUE -1.99773736144609 -2.17183385341525 "low" "low" -0.142279332680473 0.0150846543942323 0.0429728126385547
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 101 "deep" "rehearse" "dirt" 109578 120878 122878 1 1 1 1 FALSE -2.08870034289342 3.37294393092859 "low" "high" 0.141882251553748 0.523438196933782 0.330825984060717
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 102 "shallow" "easymathtrialproc" "poem" 131967 143267 145267 1 0 1 1 FALSE -1.40099722668047 1.73836315614226 "low" "high" 0.387990774370846 0.150027477708701 0.830203519809817
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 103 "deep" "rehearse" "flea" 154374 165674 167674 1 0 1 1 TRUE -2.89512925441378 -1.58300247783516 "low" "low" -0.237378491355006 -0.12451249429959 -0.205682500019693
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 104 "deep" "rehearse" "dime" 179764 191064 193064 1 0 1 1 FALSE -2.39824799968529 0.874300277621871 "low" "high" 0.477570669515007 -0.316861594935294 0.11484196460219
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 105 "shallow" "rehearse" "carton" 204171 215471 217471 1 0 1 2 FALSE -0.156991476807064 0.428393530186451 "low" "high" 0.388555533460713 -0.112883004754767 0.0649892029491284
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 5 106 "shallow" "easymathtrialproc" "pastor" 230562 241862 243862 1 0 1 2 TRUE 0.026688683039562 3.44135822867657 "low" "high" -0.134218382316871 0.177414773281799 0.233362081819031
