"run" "onset" "image" "lead_up" "rep_num" "fix_num" "response" "rt" "null" "face_gen" "bad" "dfixnum" "mfixnum" "fixdiff12" "fixdiff23" "fixdiff34" "fixdiff14" "rslope" "nrslope" "fixnplus1" "fixnminus1"
3 300 "null.jpg" 0 -1 7 3 0.73 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 306 "F123.jpg" 0 3 9 1 1.36 0 "male" 0 -0.102564102564103 9.75 0 0 0 0 0 0 -1 -1
3 312 "null.jpg" 0 -1 7 3 0.76 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 318 "M125.jpg" 0 2 10 1 1.51 0 "female" 0 -0.0909090909090909 11 0 0 0 0 0 0 2 -1
3 324 "null.jpg" 0 -1 5 3 1.57 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 330 "F126.jpg" 0 1 10 2 1.03 1 "n/a" 0 0 10 0 0 0 0 0 0 0 NA
3 336 "M124.jpg" 0 3 6 2 0.81 0 "male" 0 -0.540540540540541 9.25 0 0 0 0 0 0 3 -5
3 342 "M126.jpg" 0 1 12 2 0.9 0 "female" 0 0 9 0 0 0 0 0 0 -6 NA
3 348 "F124.jpg" 0 3 7 2 0.72 0 "female" 0 -0.387096774193548 7.75 0 0 0 0 0 0 -2 -3
3 354 "M123.jpg" 0 4 8 1 1.34 0 "male" 0 -0.210526315789474 9.5 0 0 0 0 0.404104229316204 0.253437203483022 NA -2
3 360 "F123.jpg" 0 4 8 1 0.89 0 "male" 0 -0.102564102564103 9.75 0 0 0 0 -0.232548372350872 -0.130293348822414 NA -1
3 366 "F125.jpg" 0 2 4 1 1.1 0 "female" 0 -0.923076923076923 8.66666666666667 0 0 0 0 0 0 6 -8
3 372 "M127.jpg" 0 1 10 2 2.04 0 "female" 0 0 10 0 0 0 0 0 0 NA NA
3 378 "F126.jpg" 0 2 10 2 0.83 1 "n/a" 0 0 10 0 0 0 0 0 0 NA 0
3 384 "M125.jpg" 0 3 12 1 0.82 1 "n/a" 0 0.181818181818182 11 0 0 0 0 1.40455831765018 1.12873839325662 NA 2
3 390 "M124.jpg" 0 4 9 2 0.72 0 "female" 0 0.324324324324324 9.25 0 0 0 0 0.0451860621940159 0.0141851276006141 NA 3
3 396 "F125.jpg" 0 3 10 1 0.79 0 "male" 0 0.692307692307692 8.66666666666667 0 0 0 0 0.040302742649303 -0.0211033093735372 NA 6
3 402 "F127.jpg" 0 1 13 1 1.45 0 "female" 0 0 13 0 0 0 0 0 0 NA NA
3 408 "null.jpg" 0 -1 6 3 0.7 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 414 "M126.jpg" 0 2 6 2 1.35 0 "male" 0 -0.666666666666667 9 0 0 0 0 0 0 NA -6
3 420 "null.jpg" 0 -1 4 3 1.17 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 426 "F124.jpg" 0 4 5 2 0.72 0 "male" 0 -0.258064516129032 7.75 0 0 0 0 -0.41254802172819 -0.386691775242403 NA -2
4 12 "F131.jpg" 1 1 11 2 1.55 0 "female" 0 0 10.25 0 0 0 0 0 0 1 NA
4 18 "M138.jpg" 1 1 12 2 1.39 0 "male" 0 0 12 0 0 0 0 0 0 NA NA
4 24 "null.jpg" 1 -1 7 3 0.66 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
4 30 "M131.jpg" 1 1 7 2 0.97 1 "n/a" 0 0 9 0 0 0 0 0 0 2 NA
4 36 "M139.jpg" 1 1 11 1 0.86 1 "n/a" 0 0 10 0 0 0 0 0 0 -2 NA
4 42 "M140.jpg" 1 1 12 1 1.99 0 "female" 0 0 10.3333333333333 0 0 0 0 0 0 -3 NA
4 48 "F139.jpg" 1 1 10 1 1.07 0 "female" 0 0 10 0 0 0 0 0 0 0 NA
4 54 "F138.jpg" 1 1 13 2 1.29 0 "male" 0 0 13 0 0 0 0 0 0 NA NA
4 60 "F140.jpg" 1 1 10 2 1.15 0 "female" 0 0 8 0 0 0 0 0 0 -4 NA
4 66 "null.jpg" 1 -1 4 3 0.79 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
4 72 "M131.jpg" 1 2 9 2 1.26 0 "male" 0 0.222222222222222 9 0 0 0 0 0 0 1 2
